ID,dr_doi,primary,rel_pub_url,journal_name,usgs_pub,pubyear,doi_referenced,doi_location,doi_loc_description,other_reference,other_ref_type,other_ref_location,other_ref_loc_description,notes,Publisher,Linked_From_Landing_Page
187,doi:10.5066/F7S180QJ,TRUE,https://doi.org/10.1002/ecs2.1956,,,,,,,,,,,,,
188,doi:10.5066/P9JCJ4EQ,TRUE,https://doi.org/10.3133/ofr20181196,,,,,,,,,,,,,
189,doi:10.5066/F7KP81C5,TRUE,https://doi.org/10.3133/sir20185060,,,,,,,,,,,,,
190,doi:10.5066/F7V69GRH,TRUE,https://doi.org/10.3133/sir20165168,,,,,,,,,,,,,
191,doi:10.5066/P9XMR9G9,TRUE,https://doi.org/10.1111/rec.12940,,,,,,,,,,,,,
192,doi:10.5066/F77W69CP,TRUE,https://doi.org/10.3133/sir20165147,,,,,,,,,,,,,
193,doi:10.5066/F7FJ2DWJ,TRUE,https://doi.org/10.3133/ds1018,,,,,,,,,,,,,
194,doi:10.5066/F7DZ06H6,TRUE,https://doi.org/10.3133/sir20175023,,,,,,,,,,,,,
195,doi:10.5066/F7N014N2,TRUE,https://doi.org/10.3398/064.076.0306,,,,,,,,,,,,,
196,doi:10.5066/P99K901R,TRUE,https://doi.org/10.1007/s00128-020-02788-y,,,,,,,,,,,,,
197,doi:10.5066/F72806SS,TRUE,https://doi.org/10.1007/s10641-018-0774-7,,,,,,,,,,,,,
198,doi:10.5066/F7GX48RZ,TRUE,https://doi.org/10.1016/j.jconhyd.2017.06.006,,,,,,,,,,,,,
199,doi:10.5066/P9H5T2MV,TRUE,https://doi.org/10.1021/acs.est.8b07062,,,,,,,,,,,,,
200,doi:10.5066/F7DJ5DVX,TRUE,https://doi.org/10.3133/sir20185166,,,,,,,,,,,,,
201,doi:10.5066/F7639NZB,TRUE,https://doi.org/10.7717/peerj.7129,,,,,,,,,,,,,
202,doi:10.5066/P9SX2FCX,TRUE,https://doi.org/10.1002/etc.4216,,,,,,,,,,,,,
203,doi:10.5066/F75B01DD,TRUE,https://doi.org/10.3133/b2218,,,,,,,,,,,,,
204,doi:10.5066/F72Z14V4,TRUE,https://doi.org/10.1016/j.rama.2018.02.007,,,,,,,,,,,,,
205,doi:10.5066/F7J67FVW,TRUE,https://doi.org/10.1371/journal.pone.0201720,,,,,,,,,,,,,
206,doi:10.5066/P9ZGEI67,TRUE,https://doi.org/10.3133/ofr20191137,,,,,,,,,,,,,
207,doi:10.5066/F7J67F5X,TRUE,https://doi.org/10.1016/j.jag.2017.03.009,,,,,,,,,,,,,
208,doi:10.5066/P98012HE,TRUE,https://doi.org/10.3133/ds1097,,,,,,,,,,,,,
209,doi:10.5066/F7BR8QDD,TRUE,https://doi.org/10.1002/ecs2.1817,,,,,,,,,,,,,
210,doi:10.5066/P9QRD7A3,TRUE,https://doi.org/10.3133/SIR20195041,,,,,,,,,,,,,
211,doi:10.5066/F7ZC812F,TRUE,https://doi.org/10.3133/ofr20171069,,,,,,,,,,,,,
212,doi:10.5066/F78C9TC5,TRUE,https://doi.org/10.1021/acs.est.5b01869,,,,,,,,,,,,,
213,doi:10.5066/F7319TC5,TRUE,https://doi.org/10.3133/sir20165074,,,,,,,,,,,,,
214,doi:10.5066/F7Q81BJK,TRUE,https://doi.org/10.3133/sir20175155,,,,,,,,,,,,,
215,doi:10.5066/F7G44PHV,TRUE,https://doi.org/10.3133/sim3399,,,,,,,,,,,,,
216,doi:10.5066/F790228K,TRUE,https://doi.org/10.3391/bir.2017.6.4.15,,,,,,,,,,,,,
217,doi:10.5066/F7PC318R,TRUE,https://doi.org/10.5066/F7V122T2,,,,,,,,,,,,,
218,doi:10.5066/F7T43S1J,TRUE,https://doi.org/10.1111/jofo.12236,,,,,,,,,,,,,
219,doi:10.5066/P9NHQW8M,TRUE,https://doi.org/10.1186/s40562-018-0117-8,,,,,,,,,,,,,
220,doi:10.5066/F7QZ28G4,TRUE,https://doi.org/10.3133/sir20185007,,,,,,,,,,,,,
221,doi:10.5066/F7SX6BBZ,TRUE,https://doi.org/10.1021/acs.est.6b02761,,,,,,,,,,,,,
222,doi:10.5066/P9OM9PFB,TRUE,https://doi.org/10.1021/acs.est.8b05592,,,,,,,,,,,,,
223,doi:10.5066/F7FJ2FQQ,TRUE,https://doi.org/10.3133/sir20175096,,,,,,,,,,,,,
224,doi:10.5066/P9906VM5,TRUE,https://doi.org/10.3133/sir20195116,,,,,,,,,,,,,
225,doi:10.5066/F7H70DSZ,TRUE,https://doi.org/10.3133/ds982,,,,,,,,,,,,,
226,doi:10.5066/F7D50KX6,TRUE,https://doi.org/10.3390/rs10060935,,,,,,,,,,,,,
227,doi:10.5066/F7B27SSW,TRUE,https://doi.org/10.1111/risa.13230,,,,,,,,,,,,,
228,doi:10.5066/P9J404KW,TRUE,https://doi.org/10.3133/ofr20191102,,,,,,,,,,,,,
229,doi:10.5066/F7GF0RQZ,TRUE,https://doi.org/10.3133/ds1062,,,,,,,,,,,,,
230,doi:10.5066/P9YWSV4O,TRUE,https://doi.org/10.1007/s12237-019-00533-1,,,,,,,,,,,,,
231,doi:10.5066/P9YEUNTM,TRUE,https://doi.org/10.1007/s12237-019-00670-7,,,,,,,,,,,,,
232,doi:10.5066/P9THSFE0,TRUE,https://doi.org/10.3133/sir20185116,,,,,,,,,,,,,
233,doi:10.5066/P9OVU9PX,TRUE,https://doi.org/10.3133/sir20185171,,,,,,,,,,,,,
234,doi:10.5066/F7NS0SS8,TRUE,https://doi.org/10.1016/j.envres.2018.01.041,,,,,,,,,,,,,
235,doi:10.5066/P91OESMG,TRUE,https://doi.org/10.1016/j.scitotenv.2018.09.387,,,,,,,,,,,,,
236,doi:10.5066/P9Y1RP02,TRUE,https://doi.org/10.1016/j.jhydrol.2019.04.010,,,,,,,,,,,,,
237,doi:10.5066/P91PLLGV,TRUE,https://doi.org/10.3133/sim3445,,,,,,,,,,,,,
238,doi:10.5066/F72R3PWW,TRUE,https://doi.org/10.1002/ecs2.1984,,,,,,,,,,,,,
239,doi:10.5066/F79P303S,TRUE,https://doi.org/10.3133/sir20195052,,,,,,,,,,,,,
240,doi:10.5066/F79Z9315,TRUE,https://doi.org/10.1021/acs.jchemed.6b00510,,,,,,,,,,,,,
241,doi:10.5066/P9Y8BE4H,TRUE,https://doi.org/10.3133/sir20185099,,,,,,,,,,,,,
242,doi:10.5066/P92I6JZQ,TRUE,https://doi.org/,,,,,,,,,,,,,
243,doi:10.5066/P9X9NW2V,TRUE,https://doi.org/10.3133/sir20195036,,,,,,,,,,,,,
244,doi:10.5066/F7HH6H55,TRUE,https://doi.org/10.3133/sir20165095,,,,,,,,,,,,,
245,doi:10.5066/F7930SDB,TRUE,https://doi.org/10.3390/rs10101657,,,,,,,,,,,,,
246,doi:10.5066/P9WUX46Y,TRUE,https://doi.org/10.1111/1365-2745.13285,,,,,,,,,,,,,
247,doi:10.5066/P9OF7K9V,TRUE,https://doi.org/10.1002/ieam.4118,,,,,,,,,,,,,
248,doi:10.5066/F7H41PKX,TRUE,https://doi.org/10.3133/sir20125207,,,,,,,,,,,,,
249,doi:10.5066/F7474820,TRUE,https://doi.org/10.3133/sir20175044,,,,,,,,,,,,,
250,doi:10.5066/P9Q8RSF5,TRUE,https://doi.org/10.3133/fs20183070,,,,,,,,,,,,,
251,doi:10.5066/P9UZIYI8,TRUE,https://doi.org/10.2112/SI76-008,,,,,,,,,,,,,
252,doi:10.5066/P9FPDG6G,TRUE,https://doi.org/10.3133/ofr20081128,,,,,,,,,,,,,
253,doi:10.5066/F72V2F2W,TRUE,https://doi.org/10.1002/ecs2.1969,,,,,,,,,,,,,
254,doi:10.5066/F7JM27T6,TRUE,https://doi.org/10.3133/sir20175060,,,,,,,,,,,,,
255,doi:10.5066/F7MG7MNN,TRUE,https://doi.org/10.3133/sir20175115,,,,,,,,,,,,,
256,doi:10.5066/P9ZJBQF2,TRUE,https://doi.org/10.3133/pp1409F,,,,,,,,,,,,,
257,doi:10.5066/P9S51J9K,TRUE,https://doi.org/10.1016/j.biocon.2019.108238,,,,,,,,,,,,,
258,doi:10.5066/F7057D39,TRUE,https://doi.org/10.3133/sir20185107,,,,,,,,,,,,,
259,doi:10.5066/F7NZ85VG,TRUE,https://doi.org/10.1002/hyp.11216,,,,,,,,,,,,,
260,doi:10.5066/P93Y903B,TRUE,https://doi.org/10.3133/ds1102,,,,,,,,,,,,,
261,doi:10.5066/F7KP808D,TRUE,https://doi.org/10.3133/ofr20161206,,,,,,,,,,,,,
262,doi:10.5066/P9VLAKVG,TRUE,https://doi.org/10.3133/sir20195123,,,,,,,,,,,,,
263,doi:10.5066/F7J9658M,TRUE,https://doi.org/10.1002/2017GL075836,,,,,,,,,,,,,
264,doi:10.5066/P99K85SW,TRUE,https://doi.org/10.1029/2019JC015238,,,,,,,,,,,,,
265,doi:10.5066/F7K35RWK,TRUE,https://doi.org/10.1016/j.jconhyd.2017.04.009,,,,,,,,,,,,,
266,doi:10.5066/P9KOPFQ9,TRUE,https://doi.org/10.3390/rs11131587,,,,,,,,,,,,,
267,doi:10.5066/F7WS8RFK,TRUE,https://doi.org/10.1785/0120160298,,,,,,,,,,,,,
268,doi:10.5066/P9ZBDF6S,TRUE,https://doi.org/10.3133/sir20185169,,,,,,,,,,,,,
269,doi:10.5066/P9OHS27F,TRUE,https://doi.org/10.3133/ofr20181152,,,,,,,,,,,,,
270,doi:10.5066/P9K88CWF,TRUE,https://doi.org/10.1674/0003-0031-182.1.89,,,,,,,,,,,,,
271,doi:10.5066/P9LQDQGM,TRUE,https://doi.org/10.3133/ofr20191083,,,,,,,,,,,,,
272,doi:10.5066/P9TL7CZC,TRUE,https://doi.org/10.1016/j.jtherbio.2020.102521,,,,,,,,,,,,,
273,doi:10.5066/P9AZREUM,TRUE,https://doi.org/10.1002/ece3.5684,,,,,,,,,,,,,
274,doi:10.5066/F7RN373C,TRUE,https://doi.org/10.3133/sir20185082,,,,,,,,,,,,,
275,doi:10.5066/F77P8WXK,TRUE,https://doi.org/10.3133/sir20155111,,,,,,,,,,,,,
276,doi:10.5066/P9WT5OVB,TRUE,https://doi.org/10.1177/8755293019878199,,,,,,,,,,,,,
277,doi:10.5066/F7F769P1,TRUE,https://doi.org/10.3391/mbi.2017.8.3.08,,,,,,,,,,,,,
278,doi:10.5066/F7Q52NK3,TRUE,https://doi.org/10.3133/sir20185026,,,,,,,,,,,,,
279,doi:10.5066/F70P0X6C,TRUE,https://doi.org/10.1007/s10021-017-0111-6,,,,,,,,,,,,,
280,doi:10.5066/F7FT8JXP,TRUE,https://doi.org/10.5066/F7V122T2,,,,,,,,,,,,,
281,doi:10.5066/P90NCI8T,TRUE,https://doi.org/10.3133/ofr20191003,,,,,,,,,,,,,
282,doi:10.5066/F74F1NTB,TRUE,https://doi.org/10.11646/zootaxa.3803.1.1,,,,,,,,,,,,,
283,doi:10.5066/F7RX9971,TRUE,https://doi.org/10.3133/sir20165168,,,,,,,,,,,,,
284,doi:10.5066/F7FX78RS,TRUE,https://doi.org/10.1139/cjfas-2018-0067,,,,,,,,,,,,,
285,doi:10.5066/F7C53J2D,TRUE,https://doi.org/10.3133/ofr20181129,,,,,,,,,,,,,
286,doi:10.5066/P9BOIO3D,TRUE,https://doi.org/10.3390/rs11182106,,,,,,,,,,,,,
287,doi:10.5066/F76T0KTJ,TRUE,https://doi.org/10.3133/ofr20181038,,,,,,,,,,,,,
288,doi:10.5066/F7PR7TX3,TRUE,https://doi.org/10.3133/ofr20181187,,,,,,,,,,,,,
289,doi:10.5066/P9TS1H1R,TRUE,https://doi.org/10.3133/sir20155188,,,,,,,,,,,,,
290,doi:10.5066/F7SF2V44,TRUE,https://doi.org/10.1002/2017GL074916,,,,,,,,,,,,,
291,doi:10.5066/F7QC02Q5,TRUE,https://doi.org/10.3390/d9040054,,,,,,,,,,,,,
292,doi:10.5066/F79C6VJ0,TRUE,https://doi.org/10.3133/ofr20161154,,,,,,,,,,,,,
293,doi:10.5066/F7JM28J1,TRUE,https://doi.org/10.5066/F7V122T2,,,,,,,,,,,,,
294,doi:10.5066/P9POL486,TRUE,https://doi.org/10.1016/j.scitotenv.2019.133735,,,,,,,,,,,,,
295,doi:10.5066/P9JSVCZX,TRUE,https://doi.org/10.1029/2019WR025037,,,,,,,,,,,,,
296,doi:10.5066/P94QFHL9,TRUE,https://doi.org/10.1155/2018/3765743,,,,,,,,,,,,,
297,doi:10.5066/F7WM1BK1,TRUE,https://doi.org/10.1785/0120170002,,,,,,,,,,,,,
298,doi:10.5066/F7H70CWW,TRUE,https://doi.org/10.1371/journal.pone.0138759,,,,,,,,,,,,,
299,doi:10.5066/P935DT1G,TRUE,https://doi.org/10.3133/ofr20191121,,,,,,,,,,,,,
300,doi:10.5066/F71C1W36,TRUE,https://doi.org/10.1016/j.margeo.2018.10.006,,,,,,,,,,,,,
301,doi:10.5066/F7XG9PN1,TRUE,https://doi.org/10.3133/sir20185114,,,,,,,,,,,,,
302,doi:10.5066/F79S1Q9F,TRUE,https://doi.org/10.1002/nafm.10068,,,,,,,,,,,,,
303,doi:10.5066/P9IQHJ06,TRUE,https://doi.org/10.1016/j.jenvman.2019.109510,,,,,,,,,,,,,
304,doi:10.5066/F71G0JBV,TRUE,https://doi.org/10.3133/sir20155164,,,,,,,,,,,,,
305,doi:10.5066/P9B0XLJL,TRUE,https://doi.org/10.3133/sir20195004,,,,,,,,,,,,,
306,doi:10.5066/F7TM79B4,TRUE,https://doi.org/10.1007/s10530-018-1732-1,,,,,,,,,,,,,
307,doi:10.5066/P961MP6O,TRUE,https://doi.org/10.1007/BF00396607,,,,,,,,,,,,,
308,doi:10.5066/F7CF9PC4,TRUE,https://doi.org/10.1785/0220180005,,,,,,,,,,,,,
309,doi:10.5066/F7TT4PWS,TRUE,https://doi.org/10.1111/1752-1688.12756,,,,,,,,,,,,,
310,doi:10.5066/F7HQ3X52,TRUE,https://doi.org/10.1016/j.agrformet.2017.04.010,,,,,,,,,,,,,
311,doi:10.5066/F7BG2M50,TRUE,https://doi.org/10.3133/sir20175090,,,,,,,,,,,,,
312,doi:10.5066/F77H1HH8,TRUE,https://doi.org/10.1029/2018WR023106,,,,,,,,,,,,,
313,doi:10.5066/P9M8EWG6,TRUE,https://doi.org/10.5066/F7H70DB4,,,,,,,,,,,,,
314,doi:10.5066/F70G3J3J,TRUE,https://doi.org/10.3133/sir20125187,,,,,,,,,,,,,
315,doi:10.5066/F7736P45,TRUE,https://doi.org/10.1021/acs.est.8b03481,,,,,,,,,,,,,
316,doi:10.5066/F7028PN4,TRUE,https://doi.org/10.1002/lol2.10027,,,,,,,,,,,,,
317,doi:10.5066/F7028PN4,TRUE,https://doi.org/10.1016/j.ecolmodel.2014.07.029,,,,,,,,,,,,,
318,doi:10.5066/F73776X6,TRUE,https://doi.org/10.1002/esp.4143,,,,,,,,,,,,,
319,doi:10.5066/F798857D,TRUE,https://doi.org/10.3133/sir20195075,,,,,,,,,,,,,
320,doi:10.5066/P99E64Y4,TRUE,https://doi.org/10.3133/ofr20141163,,,,,,,,,,,,,
321,doi:10.5066/F7NK3D7M,TRUE,https://doi.org/10.1029/2017JG004369,,,,,,,,,,,,,
322,doi:10.5066/P9966N16,TRUE,https://doi.org/10.1016/j.quascirev.2019.07.028,,,,,,,,,,,,,
323,doi:10.5066/P9MCIR8M,TRUE,https://doi.org/10.3133/sir20185162,,,,,,,,,,,,,
324,doi:10.5066/F74M92P8,TRUE,https://doi.org/10.1371/journal.pone.0208300,,,,,,,,,,,,,
325,doi:10.5066/F7154F5S,TRUE,https://doi.org/10.1894/0038-4909-61.3.233,,,,,,,,,,,,,
326,doi:10.5066/P92JWFUR,TRUE,https://doi.org/10.3389/fmicb.2019.00996,,,,,,,,,,,,,
327,doi:10.5066/F7K935NQ,TRUE,https://doi.org/10.3133/ofr20171109,,,,,,,,,,,,,
328,doi:10.5066/F7PV6JKZ,TRUE,https://doi.org/10.1130/GES01470.1,,,,,,,,,,,,,
329,doi:10.5066/P9MUWDFN,TRUE,https://doi.org/10.1002/2015GL064811,,,,,,,,,,,,,
330,doi:10.5066/P9MOHC0C,TRUE,https://doi.org/10.1002/ecs2.2283,,,,,,,,,,,,,
331,doi:10.5066/P96KD2UM,TRUE,https://doi.org/10.5066/P9565EY6,,,,,,,,,,,,,
332,doi:10.5066/P9LUB44J,TRUE,https://doi.org/10.3133/sir20195013,,,,,,,,,,,,,
333,doi:10.5066/F7QC02FK,TRUE,https://doi.org/10.3390/rs9121181,,,,,,,,,,,,,
334,doi:10.5066/F7SX6CFQ,TRUE,https://doi.org/10.1016/j.cageo.2019.03.004,,,,,,,,,,,,,
335,doi:10.5066/F7P848ZZ,TRUE,https://doi.org/10.3133/ofr20161105,,,,,,,,,,,,,
336,doi:10.5066/P9VDWVJO,TRUE,https://doi.org/10.3133/fs20183070,,,,,,,,,,,,,
337,doi:10.5066/P9843JFT,TRUE,https://doi.org/10.1016/j.quascirev.2018.08.015,,,,,,,,,,,,,
338,doi:10.5066/F78G8JXP,TRUE,https://doi.org/10.3133/ofr20181047,,,,,,,,,,,,,
339,doi:10.5066/F78913ZC,TRUE,https://doi.org/10.1080/00028487.2016.1243578,,,,,,,,,,,,,
340,doi:10.5066/P95L0P6X,TRUE,https://doi.org/10.5066/P9565EY6,,,,,,,,,,,,,
341,doi:10.5066/F72V2D7Q,TRUE,https://doi.org/10.3133/sir20165070,,,,,,,,,,,,,
342,doi:10.5066/P9YVG9ME,TRUE,https://doi.org/10.7589/2018-06-165,,,,,,,,,,,,,
343,doi:10.5066/P91NM8X3,TRUE,https://doi.org/10.1111/1752-1688.12814,,,,,,,,,,,,,
344,doi:10.5066/F73R0RT0,TRUE,https://doi.org/10.24872/rmgjournal.52.2107,,,,,,,,,,,,,
345,doi:10.5066/P93TOM58,TRUE,https://doi.org/10.1093/condor/duz003,,,,,,,,,,,,,
346,doi:10.5066/F77P8XCT,TRUE,https://doi.org/10.3133/sir20185139,,,,,,,,,,,,,
347,doi:10.5066/F7JH3KCV,TRUE,https://doi.org/10.3133/sir20185166,,,,,,,,,,,,,
348,doi:10.5066/F7P26W7P,TRUE,https://doi.org/10.3133/sir20175064,,,,,,,,,,,,,
349,doi:10.5066/F7PG1PVH,TRUE,https://doi.org/10.1111/1365-2435.12708,,,,,,,,,,,,,
350,doi:10.5066/P9E5K160,TRUE,https://doi.org/10.3133/ofr20181156,,,,,,,,,,,,,
351,doi:10.5066/F76971N5,TRUE,https://doi.org/10.3133/ofr20151167,,,,,,,,,,,,,
352,doi:10.5066/P901T47X,TRUE,https://doi.org/10.2113/gsjfr.49.1.29,,,,,,,,,,,,,
353,doi:10.5066/P9KC9DU8,TRUE,https://doi.org/10.3133/sir20195151,,,,,,,,,,,,,
354,doi:10.5066/F7GB2274,TRUE,https://doi.org/10.3133/sir20175050,,,,,,,,,,,,,
355,doi:10.5066/F7K35SMD,TRUE,https://doi.org/10.1111/j.1523-1739.1998.96384.x,,,,,,,,,,,,,
356,doi:10.5066/F76T0KG2,TRUE,https://doi.org/10.1002/lom3.10204,,,,,,,,,,,,,
357,doi:10.5066/F70K27R0,TRUE,https://doi.org/10.1002/hyp.11458,,,,,,,,,,,,,
358,doi:10.5066/P91XQ3IS,TRUE,https://doi.org/10.1029/2019JB017587,,,,,,,,,,,,,
359,doi:10.5066/F7TB152V,TRUE,https://doi.org/10.1002/gea.21672,,,,,,,,,,,,,
360,doi:10.5066/P9TWBYYQ,TRUE,https://doi.org/10.3133/sim3433,,,,,,,,,,,,,
361,doi:10.5066/F7H99392,TRUE,https://doi.org/10.3133/sir20165035,,,,,,,,,,,,,
362,doi:10.5066/F7CF9N51,TRUE,https://doi.org/10.1371/journal.pone.0138759,,,,,,,,,,,,,
363,doi:10.5066/F7RB732P,TRUE,https://doi.org/10.3133/sir20175049,,,,,,,,,,,,,
364,doi:10.5066/F7MC8X40,TRUE,https://doi.org/10.3133/sir20165092,,,,,,,,,,,,,
365,doi:10.5066/P926SZLN,TRUE,https://doi.org/10.1007/s00027-019-0689-1,,,,,,,,,,,,,
366,doi:10.5066/P96Q5D2T,TRUE,https://doi.org/10.1002/ece3.5860,,,,,,,,,,,,,
367,doi:10.5066/P91V2S8C,TRUE,https://doi.org/10.1111/ddi.12927,,,,,,,,,,,,,
368,doi:10.5066/P97NBUTC,TRUE,https://doi.org/10.3120/0024-9637-66.4.164,,,,,,,,,,,,,
369,doi:10.5066/F7DN44BJ,TRUE,https://doi.org/10.3133/sim3409,,,,,,,,,,,,,
370,doi:10.5066/F75B00N4,TRUE,https://doi.org/10.1002/ecm.1268,,,,,,,,,,,,,
371,doi:10.5066/F7736PSP,TRUE,https://doi.org/10.1016/j.ecss.2018.06.026,,,,,,,,,,,,,
372,doi:10.5066/F73F4MRV,TRUE,https://doi.org/10.3133/sir20185094,,,,,,,,,,,,,
373,doi:10.5066/F72R3PR3,TRUE,https://doi.org/10.3133/sir20165063,,,,,,,,,,,,,
374,doi:10.5066/P9JBWQ96,TRUE,https://doi.org/10.1016/j.scitotenv.2019.136008,,,,,,,,,,,,,
375,doi:10.5066/F7MW2GCN,TRUE,https://doi.org/10.3133/ofr20171166,,,,,,,,,,,,,
376,doi:10.5066/P9V3XDY6,TRUE,https://doi.org/10.1371/journal.pone.0222807,,,,,,,,,,,,,
377,doi:10.5066/F7CF9P06,TRUE,https://doi.org/10.1371/journal.pone.0193247,,,,,,,,,,,,,
378,doi:10.5066/F7S75F7K,TRUE,https://doi.org/10.1111/1365-2664.13169,,,,,,,,,,,,,
379,doi:10.5066/F7GF0RPH,TRUE,https://doi.org/10.3133/ofr20171011,,,,,,,,,,,,,
380,doi:10.5066/F7J67F31,TRUE,https://doi.org/10.1016/j.biocon.2018.09.008,,,,,,,,,,,,,
381,doi:10.5066/P9I6BPX5,TRUE,https://doi.org/10.3133/ofr20181111,,,,,,,,,,,,,
382,doi:10.5066/F7TB163Q,TRUE,https://doi.org/10.7589/2017-06-139,,,,,,,,,,,,,
383,doi:10.5066/F708647F,TRUE,https://doi.org/10.1002/ece3.3092,,,,,,,,,,,,,
384,doi:10.5066/P92XVOOF,TRUE,https://doi.org/10.3133/sim3412B,,,,,,,,,,,,,
385,doi:10.5066/P9Q53DOD,TRUE,https://doi.org/10.3133/sir20145127,,,,,,,,,,,,,
386,doi:10.5066/P9T9J3JU,TRUE,https://doi.org/10.1016/j.ecolmodel.2018.09.006,,,,,,,,,,,,,
387,doi:10.5066/F7BP00W8,TRUE,https://doi.org/10.3133/fs20173001,,,,,,,,,,,,,
388,doi:10.5066/F7000101,TRUE,https://doi.org/10.3398/064.077.0305,,,,,,,,,,,,,
389,doi:10.5066/P9F63VYX,TRUE,https://doi.org/10.1029/2018EA000417,,,,,,,,,,,,,
390,doi:10.5066/F7Z31X54,TRUE,https://doi.org/10.1007/s13253-018-0335-8,,,,,,,,,,,,,
391,doi:10.5066/F7J964GW,TRUE,https://doi.org/10.3133/sir20165089A,,,,,,,,,,,,,
392,doi:10.5066/F7RN363Z,TRUE,https://doi.org/10.3133/sir20175013v1,,,,,,,,,,,,,
393,doi:10.5066/F78C9THZ,TRUE,https://doi.org/10.3133/sir20175029,,,,,,,,,,,,,
394,doi:10.5066/P9UOBL50,TRUE,https://doi.org/10.1071/WF18075,,,,,,,,,,,,,
395,doi:10.5066/P91LIQ0T,TRUE,https://doi.org/10.4289/0013-8797.120.2.272,,,,,,,,,,,,,
396,doi:10.5066/F7J965CZ,TRUE,https://doi.org/10.3133/sir20185068,,,,,,,,,,,,,
397,doi:10.5066/P9NORY48,TRUE,https://doi.org/10.1093/auk/uky007,,,,,,,,,,,,,
398,doi:10.5066/F7QF8S3H,TRUE,https://doi.org/10.3390/s18030880,,,,,,,,,,,,,
399,doi:10.5066/P9VN5RKV,TRUE,https://doi.org/10.5066/P9VN5RKV,,,,,,,,,,,,,
400,doi:10.5066/P90EKU6X,TRUE,https://doi.org/10.3133/sir20195005,,,,,,,,,,,,,
401,doi:10.5066/P996GAZP,TRUE,https://doi.org/10.3133/sir20185092,,,,,,,,,,,,,
402,doi:10.5066/F7P26WCG,TRUE,https://doi.org/10.1002/etc.3774,,,,,,,,,,,,,
403,doi:10.5066/F76T0JT4,TRUE,https://doi.org/10.3133/sir20175009,,,,,,,,,,,,,
404,doi:10.5066/F7TQ5ZRN,TRUE,https://doi.org/10.3133/ofr20181012,,,,,,,,,,,,,
405,doi:10.5066/F71R6NJT,TRUE,https://doi.org/10.1890/14-1108.1,,,,,,,,,,,,,
406,doi:10.5066/F7BG2MWD,TRUE,https://doi.org/10.3133/ofr20161194,,,,,,,,,,,,,
407,doi:10.5066/P9E8VRGO,TRUE,https://doi.org/10.3133/ds1077,,,,,,,,,,,,,
408,doi:10.5066/F7TX3CJ7,TRUE,https://doi.org/10.1111/gcb.13633,,,,,,,,,,,,,
409,doi:10.5066/P9UY8L30,TRUE,https://doi.org/10.1021/acs.est.9b03459,,,,,,,,,,,,,
410,doi:10.5066/F7NK3C59,TRUE,https://doi.org/10.3389/fmars.2017.00381,,,,,,,,,,,,,
411,doi:10.5066/F72B8X71,TRUE,https://doi.org/10.1016/j.ecolind.2018.02.026,,,,,,,,,,,,,
412,doi:10.5066/F7VM4B41,TRUE,https://doi.org/10.3133/ofr20181151,,,,,,,,,,,,,
413,doi:10.5066/F7XW4GZT,TRUE,https://doi.org/10.1002/2016GL071685,,,,,,,,,,,,,
414,doi:10.5066/P9LRHNL5,TRUE,https://doi.org/10.1007/s00216-019-02277-0,,,,,,,,,,,,,
415,doi:10.5066/F7319T07,TRUE,https://doi.org/10.1007/s10933-016-9914-2,,,,,,,,,,,,,
416,doi:10.5066/F7MS3S17,TRUE,https://doi.org/10.3133/sir20185077,,,,,,,,,,,,,
417,doi:10.5066/P9PPAKP6,TRUE,https://doi.org/10.3133/ofr20191039,,,,,,,,,,,,,
418,doi:10.5066/P90GAYBK,TRUE,https://doi.org/10.1007/s00267-017-0957-6,,,,,,,,,,,,,
419,doi:10.5066/F7GT5M4C,TRUE,https://doi.org/10.1111/gcb.13945,,,,,,,,,,,,,
420,doi:10.5066/P9LUTFHZ,TRUE,https://doi.org/10.3133/sir20195110,,,,,,,,,,,,,
421,doi:10.5066/F7WQ01ZW,TRUE,https://doi.org/10.3133/sir20165168,,,,,,,,,,,,,
422,doi:10.5066/P9CF9QKZ,TRUE,https://doi.org/10.3133/sir20185096,,,,,,,,,,,,,
423,doi:10.5066/F74747Z7,TRUE,https://doi.org/10.3133/sir20185094,,,,,,,,,,,,,
424,doi:10.5066/F7JQ0ZW2,TRUE,https://doi.org/10.3390/w9120946,,,,,,,,,,,,,
425,doi:10.5066/P9XVX2SM,TRUE,https://doi.org/10.3133/sir20185156,,,,,,,,,,,,,
426,doi:10.5066/P9URJ38Q,TRUE,https://doi.org/10.3133/sir20195102,,,,,,,,,,,,,
427,doi:10.5066/P93J4EQ8,TRUE,https://doi.org/10.1115/1.4041361,,,,,,,,,,,,,
428,doi:10.5066/F7MS3QWM,TRUE,https://doi.org/10.1016/j.aeolia.2017.12.001,,,,,,,,,,,,,
429,doi:10.5066/F70Z71C8,TRUE,https://doi.org/10.3133/ofr20161110,,,,,,,,,,,,,
430,doi:10.5066/F7Q52NW4,TRUE,https://doi.org/10.1002/rra.3337,,,,,,,,,,,,,
431,doi:10.5066/F7CZ36BS,TRUE,https://doi.org/10.1029/2019JF005369,,,,,,,,,,,,,
432,doi:10.5066/P9J9NYND,TRUE,https://doi.org/10.3133/ofr20181091,,,,,,,,,,,,,
433,doi:10.5066/P9PZQGJG,TRUE,https://doi.org/10.1130/GES02049.1,,,,,,,,,,,,,
